"Date,""Close"",""Open"",""High"",""Low"",""Volume"",""Change in Percentage"""
"22/02/2022,""520,59"",""520,45"",""522,85"",""516,29"",""1,75B"",""-0,59%"""
"21/02/2022,""523,67"",""524,20"",""526,71"",""522,02"",""1,47B"",""0,00%"""
"18/02/2022,""523,68"",""520,36"",""525,23"",""517,61"",""1,62B"",""0,68%"""
"17/02/2022,""520,12"",""520,21"",""521,72"",""514,93"",""1,23B"",""-0,26%"""
"16/02/2022,""521,49"",""523,02"",""524,11"",""520,46"",""1,35B"",""0,07%"""
"15/02/2022,""521,13"",""515,82"",""521,13"",""513,67"",""1,47B"",""1,34%"""
"14/02/2022,""514,23"",""515,87"",""516,48"",""509,68"",""1,61B"",""-0,85%"""
"11/02/2022,""518,63"",""518,13"",""519,79"",""514,12"",""1,39B"",""-0,05%"""
"10/02/2022,""518,88"",""521,60"",""522,81"",""517,40"",""1,93B"",""0,22%"""
"09/02/2022,""517,73"",""515,35"",""519,12"",""512,64"",""1,76B"",""0,94%"""
"08/02/2022,""512,92"",""515,67"",""520,55"",""512,92"",""2,14B"",""-0,27%"""
"07/02/2022,""514,30"",""510,31"",""514,71"",""508,65"",""1,73B"",""1,28%"""
"04/02/2022,""507,80"",""506,78"",""508,36"",""504,66"",""1,48B"",""0,60%"""
"03/02/2022,""504,78"",""508,18"",""508,35"",""501,55"",""1,45B"",""-0,23%"""
"02/02/2022,""505,94"",""505,15"",""507,47"",""503,32"",""1,77B"",""0,73%"""
"31/01/2022,""502,30"",""509,46"",""509,46"",""502,30"",""740,86M"",""-1,16%"""
"28/01/2022,""508,18"",""508,20"",""509,20"",""504,78"",""658,98M"",""0,20%"""
"27/01/2022,""507,19"",""505,60"",""508,80"",""503,90"",""725,84M"",""-0,02%"""
"26/01/2022,""507,28"",""503,83"",""507,55"",""501,74"",""869,99M"",""0,93%"""
"25/01/2022,""502,60"",""505,09"",""505,35"",""497,74"",""932,93M"",""-1,04%"""
"24/01/2022,""507,87"",""510,53"",""511,21"",""506,43"",""717,54M"",""-1,14%"""
"21/01/2022,""513,72"",""504,86"",""513,72"",""502,11"",""604,31M"",""1,77%"""
"20/01/2022,""504,77"",""504,49"",""506,85"",""501,98"",""657,72M"",""0,51%"""
"19/01/2022,""502,21"",""505,12"",""505,54"",""501,26"",""731,05M"",""-0,66%"""
"18/01/2022,""505,56"",""508,52"",""509,60"",""498,55"",""805,19M"",""-0,34%"""
"17/01/2022,""507,30"",""512,06"",""512,11"",""504,80"",""629,15M"",""-0,48%"""
"14/01/2022,""509,73"",""507,57"",""511,05"",""505,44"",""642,61M"",""0,24%"""
"13/01/2022,""508,49"",""506,58"",""508,70"",""504,21"",""715,59M"",""0,75%"""
"12/01/2022,""504,69"",""504,69"",""506,24"",""501,02"",""649,90M"",""0,40%"""
"11/01/2022,""502,69"",""506,24"",""506,91"",""501,40"",""848,68M"",""-0,31%"""
"10/01/2022,""504,25"",""507,53"",""508,67"",""504,25"",""773,14M"",""-0,68%"""
"07/01/2022,""507,70"",""504,69"",""509,32"",""502,35"",""946,69M"",""1,00%"""
"06/01/2022,""502,69"",""503,34"",""503,94"",""496,97"",""760,98M"",""0,22%"""
"05/01/2022,""501,61"",""507,25"",""509,20"",""498,66"",""882,43M"",""-1,02%"""
"04/01/2022,""506,78"",""505,18"",""508,94"",""504,75"",""618,67M"",""0,58%"""
"03/01/2022,""503,84"",""497,79"",""505,30"",""497,61"",""571,98M"",""1,36%"""
"30/12/2021,""497,10"",""501,33"",""501,48"",""497,10"",""654,82M"",""-0,63%"""
"29/12/2021,""500,27"",""501,43"",""502,86"",""498,48"",""393,16M"",""-0,05%"""
"28/12/2021,""500,53"",""500,10"",""502,06"",""499,18"",""576,68M"",""0,41%"""
"27/12/2021,""498,48"",""498,83"",""499,95"",""497,29"",""464,73M"",""0,17%"""
"24/12/2021,""497,62"",""499,10"",""500,42"",""496,51"",""446,82M"",""-0,21%"""
"23/12/2021,""498,66"",""496,85"",""499,75"",""495,61"",""477,37M"",""0,63%"""
"22/12/2021,""495,55"",""502,17"",""502,88"",""495,55"",""552,21M"",""-0,84%"""
"21/12/2021,""499,76"",""498,48"",""502,30"",""497,83"",""587,00M"",""0,30%"""
"20/12/2021,""498,26"",""498,14"",""500,32"",""496,94"",""624,48M"",""-0,75%"""
"17/12/2021,""502,01"",""498,93"",""502,01"",""497,42"",""938,90M"",""0,18%"""
"16/12/2021,""501,11"",""507,33"",""508,05"",""500,13"",""907,79M"",""-0,66%"""
"15/12/2021,""504,44"",""501,86"",""507,46"",""501,04"",""738,84M"",""0,49%"""
"14/12/2021,""501,98"",""504,79"",""505,15"",""500,69"",""680,09M"",""-0,37%"""
"13/12/2021,""503,86"",""508,55"",""509,70"",""503,86"",""687,22M"",""-0,65%"""
