ds,yhat1
2020-07-03,5567.443
2020-07-04,5564.991
2020-07-05,5575.3477
2020-07-06,5584.766
2020-07-07,5604.6616
2020-07-08,5641.076
2020-07-09,5755.9834
2020-07-10,5690.6934
2020-07-11,5740.852
2020-07-12,5727.017
2020-07-13,5714.1333
2020-07-14,5713.9204
2020-07-15,5732.763
2020-07-16,5694.3545
2020-07-17,5711.817
2020-07-18,5672.138
2020-07-19,5674.342
2020-07-20,5677.603
2020-07-21,5693.0986
2020-07-22,5738.646
2020-07-23,5722.714
2020-07-24,5737.302
2020-07-25,5675.5576
2020-07-26,5674.8613
2020-07-27,5674.8877
2020-07-28,5687.333
2020-07-29,5749.583
2020-07-30,5718.5225
2020-07-31,5788.5596
2020-08-01,5776.3115
2020-08-02,5765.7417
2020-08-03,5755.9453
2020-08-04,5760.168
2020-08-05,5827.4985
2020-08-06,5830.793
2020-08-07,5876.5845
2020-08-08,5836.4126
2020-08-09,5832.2275
2020-08-10,5827.2363
2020-08-11,5832.453
2020-08-12,5879.158
2020-08-13,5928.9976
2020-08-14,5957.107
2020-08-15,6019.287
2020-08-16,6011.8984
2020-08-17,6004.8584
2020-08-18,6009.6543
2020-08-19,6012.823
2020-08-20,5991.6387
2020-08-21,5993.7324
2020-08-22,5991.834
2020-08-23,5990.8594
2020-08-24,5989.905
2020-08-25,5999.9062
2020-08-26,6038.5737
2020-08-27,6017.0444
2020-08-28,6171.471
2020-08-29,6100.58
2020-08-30,6047.616
2020-08-31,5993.294
2020-09-01,5949.2573
2020-09-02,6093.1553
2020-09-03,6024.7617
2020-09-04,6052.8003
2020-09-05,5965.71
2020-09-06,5933.113
2020-09-07,5901.6045
2020-09-08,5882.668
2020-09-09,5911.431
2020-09-10,5843.1084
2020-09-11,5574.5127
2020-09-12,5619.7207
2020-09-13,5637.322
2020-09-14,5654.507
2020-09-15,5682.55
2020-09-16,5564.238
2020-09-17,5479.648
2020-09-18,5469.8965
2020-09-19,5377.5293
2020-09-20,5356.4414
2020-09-21,5336.4473
2020-09-22,5329.8745
2020-09-23,5235.0537
2020-09-24,5255.431
2020-09-25,5216.1357
2020-09-26,5310.7266
2020-09-27,5291.0425
2020-09-28,5274.467
2020-09-29,5271.9834
2020-09-30,5282.1104
2020-10-01,5530.324
2020-10-02,5631.162
2020-10-03,5597.991
2020-10-04,5606.812
2020-10-05,5615.37
2020-10-06,5634.3325
2020-10-07,5754.9263
2020-10-08,5785.6567
2020-10-09,5803.8135
2020-10-10,5799.009
2020-10-11,5813.6235
2020-10-12,5828.5024
2020-10-13,5855.3716
2020-10-14,5864.534
2020-10-15,5887.668
2020-10-16,5821.7666
2020-10-17,5806.0137
2020-10-18,5834.259
2020-10-19,5862.677
2020-10-20,5902.4614
2020-10-21,5854.291
2020-10-22,5833.7495
2020-10-23,5845.7734
2020-10-24,5822.526
2020-10-25,5826.2725
2020-10-26,5829.805
2020-10-27,5844.7646
2020-10-28,5833.656
2020-10-29,5827.4707
2020-10-30,5828.588
2020-10-31,5826.399
2020-11-01,5826.1855
2020-11-02,5827.5273
2020-11-03,5841.526
2020-11-04,5893.255
2020-11-05,5847.7905
2020-11-06,6049.0913
2020-11-07,6137.7812
2020-11-08,6133.556
2020-11-09,6128.8784
2020-11-10,6134.903
2020-11-11,6257.858
2020-11-12,6285.3574
2020-11-13,6210.7393
2020-11-14,6185.6387
2020-11-15,6197.5527
2020-11-16,6210.423
2020-11-17,6236.044
2020-11-18,6284.7256
2020-11-19,6291.336
2020-11-20,6320.9775
2020-11-21,6311.6235
2020-11-22,6313.2905
2020-11-23,6316.0654
2020-11-24,6330.8833
2020-11-25,6322.481
2020-11-26,6227.9565
2020-11-27,6274.2783
2020-11-28,6216.1523
2020-11-29,6178.682
2020-11-30,6140.508
2020-12-01,6113.081
2020-12-02,6233.005
