ds,yhat1
2021-06-15,6297.4443
2021-06-16,6357.4844
2021-06-17,6262.7456
2021-06-18,6203.082
2021-06-19,6193.0713
2021-06-20,6165.6514
2021-06-21,6137.463
2021-06-22,6123.1636
2021-06-23,6211.8555
2021-06-24,6094.2183
2021-06-25,6071.3613
2021-06-26,6051.158
2021-06-27,6009.833
2021-06-28,5968.662
2021-06-29,5941.201
2021-06-30,5939.5186
2021-07-01,5913.7803
2021-07-02,5914.038
2021-07-03,5987.8047
2021-07-04,5993.7275
2021-07-05,5998.06
2021-07-06,6014.798
2021-07-07,5965.959
2021-07-08,5964.6567
2021-07-09,5912.043
2021-07-10,5913.615
2021-07-11,5960.666
2021-07-12,6006.858
2021-07-13,6066.7065
2021-07-14,5949.2754
2021-07-15,5885.4946
2021-07-16,6002.784
2021-07-17,5996.4146
2021-07-18,5963.4287
2021-07-19,5929.5815
2021-07-20,5909.0625
2021-07-21,5916.093
2021-07-22,5908.4004
2021-07-23,6045.1562
2021-07-24,5927.295
2021-07-25,5917.649
2021-07-26,5907.0586
2021-07-27,5909.828
2021-07-28,5913.9507
2021-07-29,5879.7275
2021-07-30,5935.02
2021-07-31,5866.6484
2021-08-01,5865.1147
2021-08-02,5862.8823
2021-08-03,5874.1963
2021-08-04,6058.5493
2021-08-05,6025.7197
2021-08-06,6197.219
2021-08-07,6060.752
2021-08-08,6073.6704
2021-08-09,6084.835
2021-08-10,6108.777
2021-08-11,6207.052
2021-08-12,6194.062
2021-08-13,6187.6396
2021-08-14,6288.8896
2021-08-15,6289.408
2021-08-16,6289.337
2021-08-17,6303.1377
2021-08-18,6392.704
2021-08-19,6468.3613
2021-08-20,6464.828
2021-08-21,6463.134
2021-08-22,6460.6675
2021-08-23,6457.2676
2021-08-24,6467.018
2021-08-25,6480.6865
2021-08-26,6469.6772
2021-08-27,6426.401
2021-08-28,6374.2134
2021-08-29,6389.412
2021-08-30,6403.166
2021-08-31,6429.973
2021-09-01,6415.712
2021-09-02,6416.312
2021-09-03,6385.5537
2021-09-04,6439.0205
2021-09-05,6429.2554
2021-09-06,6419.5796
2021-09-07,6423.8555
2021-09-08,6423.445
2021-09-09,6288.7637
2021-09-10,6412.125
2021-09-11,6363.5786
2021-09-12,6376.3022
2021-09-13,6388.002
2021-09-14,6412.2783
2021-09-15,6406.838
2021-09-16,6347.5537
2021-09-17,6348.0586
2021-09-18,6364.207
2021-09-19,6383.9453
2021-09-20,6403.2324
2021-09-21,6436.1084
2021-09-22,6348.817
2021-09-23,6402.286
2021-09-24,6425.366
2021-09-25,6431.677
2021-09-26,6434.8174
2021-09-27,6437.8955
2021-09-28,6455.0596
2021-09-29,6407.709
2021-09-30,6461.8916
2021-10-01,6870.408
